Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /media/images/Siem_Reap_locator_map.2e16d0ba.fill-100x100.max-165x165.png HTTP/1.1" 304 0
"GET /admin/images/chooser/9/ HTTP/1.1" 200 281
"GET /admin/images/chooser/ HTTP/1.1" 200 11513
"POST /admin/images/chooser/upload/ HTTP/1.1" 200 283
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_QoSOCqV.jpg HTTP/1.1" 200 5369
"GET /admin/choose-page/?page_type=wagtailcore.page HTTP/1.1" 200 4578
"GET /admin/images/chooser/ HTTP/1.1" 200 12079
"POST /admin/images/chooser/upload/ HTTP/1.1" 200 260
"GET /media/images/beautiful-bike-biker-2885429.max-165x165.max-165x165.jpg HTTP/1.1" 200 6821
"POST /admin/pages/4/edit/ HTTP/1.1" 302 0
"GET /admin/pages/3/ HTTP/1.1" 200 34244
"GET /team/ HTTP/1.1" 200 15955
"GET /media/images/beautiful-bike-biker-2885429.max-1.2e16d0ba.fill-300x240.jpg HTTP/1.1" 200 4948
"GET /media/images/adult-casual-close-up-2857942.2e16.2e16d0ba.fill-300x240_Klh4nYN.jpg HTTP/1.1" 200 13199
"GET /media/images/blurred-background-casual-close-up.2e16d0ba.fill-300x240_7FgTDUF.jpg HTTP/1.1" 304 0
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
"GET /admin/pages/4/ HTTP/1.1" 200 29940
"GET /admin/pages/3/ HTTP/1.1" 200 33441
"GET /admin/pages/8/edit/ HTTP/1.1" 200 65664
"GET /static/wagtailadmin/js/vendor/modernizr-2.6.2.min.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/css/normalize.css?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/css/vendor/jquery.tagit.css?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/css/vendor/jquery-ui/jquery-ui-1.10.3.verdant.css?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/jquery.autosize.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/jquery-3.5.1.min.js?v=b7056808 HTTP/1.1" 304 0
